id	n	tau	factorization
0	1	1	1
1	4	3	2^2
2	9	3	3^2
3	16	5	2^4
4	25	3	5^2
5	36	9	2^2*3^2
6	49	3	7^2
7	64	7	2^6
8	81	5	3^4
9	100	9	2^2*5^2
10	121	3	11^2
11	144	15	2^4*3^2
12	169	3	13^2
13	196	9	2^2*7^2
14	225	9	3^2*5^2
15	256	9	2^8
16	289	3	17^2
17	324	15	2^2*3^4
18	361	3	19^2
19	400	15	2^4*5^2
20	441	9	3^2*7^2
21	484	9	2^2*11^2
22	576	21	2^6*3^2
23	625	5	5^4
24	676	9	2^2*13^2
25	729	7	3^6
26	784	15	2^4*7^2
27	900	27	2^2*3^2*5^2
28	1024	11	2^10
29	1089	9	3^2*11^2
30	1156	9	2^2*17^2
31	1225	9	5^2*7^2
32	1296	25	2^4*3^4
33	1444	9	2^2*19^2
34	1521	9	3^2*13^2
35	1600	21	2^6*5^2
36	1764	27	2^2*3^2*7^2
37	1936	15	2^4*11^2
38	2025	15	3^4*5^2
39	2304	27	2^8*3^2
40	2401	5	7^4
41	2500	15	2^2*5^4
42	2601	9	3^2*17^2
43	2704	15	2^4*13^2
44	2916	21	2^2*3^6
45	3025	9	5^2*11^2
46	3136	21	2^6*7^2
47	3249	9	3^2*19^2
48	3600	45	2^4*3^2*5^2
49	3969	15	3^4*7^2
50	4096	13	2^12
51	4225	9	5^2*13^2
52	4356	27	2^2*3^2*11^2
53	4624	15	2^4*17^2
54	4900	27	2^2*5^2*7^2
55	5184	35	2^6*3^4
56	5625	15	3^2*5^4
57	5776	15	2^4*19^2
58	5929	9	7^2*11^2
59	6084	27	2^2*3^2*13^2
60	6400	27	2^8*5^2
61	6561	9	3^8
62	7056	45	2^4*3^2*7^2
63	7225	9	5^2*17^2
64	7744	21	2^6*11^2
65	8100	45	2^2*3^4*5^2
66	8281	9	7^2*13^2
67	9025	9	5^2*19^2
68	9216	33	2^10*3^2
69	9604	15	2^2*7^4
70	9801	15	3^4*11^2
71	10000	25	2^4*5^4
72	10404	27	2^2*3^2*17^2
73	10816	21	2^6*13^2
74	11025	27	3^2*5^2*7^2
75	11664	35	2^4*3^6
76	12100	27	2^2*5^2*11^2
77	12544	27	2^8*7^2
78	12996	27	2^2*3^2*19^2
79	13689	15	3^4*13^2
80	14161	9	7^2*17^2
81	14400	63	2^6*3^2*5^2
82	14641	5	11^4
83	15625	7	5^6
84	15876	45	2^2*3^4*7^2
85	16384	15	2^14
86	16900	27	2^2*5^2*13^2
87	17424	45	2^4*3^2*11^2
88	17689	9	7^2*19^2
89	18225	21	3^6*5^2
90	18496	21	2^6*17^2
91	19600	45	2^4*5^2*7^2
92	20449	9	11^2*13^2
93	20736	45	2^8*3^4
94	21609	15	3^2*7^4
95	22500	45	2^2*3^2*5^4
96	23104	21	2^6*19^2
97	23409	15	3^4*17^2
98	23716	27	2^2*7^2*11^2
99	24336	45	2^4*3^2*13^2
100	25600	33	2^10*5^2
101	26244	27	2^2*3^8
102	27225	27	3^2*5^2*11^2
103	28224	63	2^6*3^2*7^2
104	28561	5	13^4
105	28900	27	2^2*5^2*17^2
106	29241	15	3^4*19^2
107	30625	15	5^4*7^2
108	30976	27	2^8*11^2
109	32400	75	2^4*3^4*5^2
110	33124	27	2^2*7^2*13^2
111	34969	9	11^2*17^2
112	35721	21	3^6*7^2
113	36100	27	2^2*5^2*19^2
114	36864	39	2^12*3^2
115	38025	27	3^2*5^2*13^2
116	38416	25	2^4*7^4
117	39204	45	2^2*3^4*11^2
118	40000	35	2^6*5^4
119	41616	45	2^4*3^2*17^2
120	43264	27	2^8*13^2
121	43681	9	11^2*19^2
122	44100	81	2^2*3^2*5^2*7^2
123	46656	49	2^6*3^6
124	48400	45	2^4*5^2*11^2
125	48841	9	13^2*17^2
126	50176	33	2^10*7^2
127	50625	25	3^4*5^4
128	51984	45	2^4*3^2*19^2
129	53361	27	3^2*7^2*11^2
130	54756	45	2^2*3^4*13^2
131	56644	27	2^2*7^2*17^2
132	57600	81	2^8*3^2*5^2
133	58564	15	2^2*11^4
134	59049	11	3^10
135	60025	15	5^2*7^4
136	61009	9	13^2*19^2
137	62500	21	2^2*5^6
138	63504	75	2^4*3^4*7^2
139	65025	27	3^2*5^2*17^2
140	65536	17	2^16
141	67600	45	2^4*5^2*13^2
142	69696	63	2^6*3^2*11^2
143	70756	27	2^2*7^2*19^2
144	72900	63	2^2*3^6*5^2
145	73984	27	2^8*17^2
146	74529	27	3^2*7^2*13^2
147	75625	15	5^4*11^2
148	78400	63	2^6*5^2*7^2
149	81225	27	3^2*5^2*19^2
150	81796	27	2^2*11^2*13^2
151	82944	55	2^10*3^4
152	83521	5	17^4
153	86436	45	2^2*3^2*7^4
154	88209	21	3^6*11^2
155	90000	75	2^4*3^2*5^4
156	92416	27	2^8*19^2
157	93636	45	2^2*3^4*17^2
158	94864	45	2^4*7^2*11^2
159	97344	63	2^6*3^2*13^2
160	99225	45	3^4*5^2*7^2
161	102400	39	2^12*5^2
162	104329	9	17^2*19^2
163	104976	45	2^4*3^8
164	105625	15	5^4*13^2
165	108900	81	2^2*3^2*5^2*11^2
166	112896	81	2^8*3^2*7^2
167	114244	15	2^2*13^4
168	115600	45	2^4*5^2*17^2
169	116964	45	2^2*3^4*19^2
170	117649	7	7^6
171	122500	45	2^2*5^4*7^2
172	123201	21	3^6*13^2
173	123904	33	2^10*11^2
174	127449	27	3^2*7^2*17^2
175	129600	105	2^6*3^4*5^2
176	130321	5	19^4
177	131769	15	3^2*11^4
178	132496	45	2^4*7^2*13^2
179	139876	27	2^2*11^2*17^2
180	140625	21	3^2*5^6
181	142884	63	2^2*3^6*7^2
182	144400	45	2^4*5^2*19^2
183	147456	45	2^14*3^2
184	148225	27	5^2*7^2*11^2
185	152100	81	2^2*3^2*5^2*13^2
186	153664	35	2^6*7^4
187	156816	75	2^4*3^4*11^2
188	159201	27	3^2*7^2*19^2
189	160000	45	2^8*5^4
190	164025	27	3^8*5^2
191	166464	63	2^6*3^2*17^2
192	173056	33	2^10*13^2
193	174724	27	2^2*11^2*19^2
194	176400	135	2^4*3^2*5^2*7^2
195	180625	15	5^4*17^2
196	184041	27	3^2*11^2*13^2
197	186624	63	2^8*3^6
198	193600	63	2^6*5^2*11^2
199	194481	25	3^4*7^4
200	195364	27	2^2*13^2*17^2
201	200704	39	2^12*7^2
202	202500	75	2^2*3^4*5^4
203	207025	27	5^2*7^2*13^2
204	207936	63	2^6*3^2*19^2
205	210681	21	3^6*17^2
206	213444	81	2^2*3^2*7^2*11^2
207	219024	75	2^4*3^4*13^2
208	225625	15	5^4*19^2
209	226576	45	2^4*7^2*17^2
210	230400	99	2^10*3^2*5^2
211	234256	25	2^4*11^4
212	236196	33	2^2*3^10
213	240100	45	2^2*5^2*7^4
214	244036	27	2^2*13^2*19^2
215	245025	45	3^4*5^2*11^2
216	250000	35	2^4*5^6
217	254016	105	2^6*3^4*7^2
218	257049	15	3^2*13^4
219	260100	81	2^2*3^2*5^2*17^2
220	262144	19	2^18
221	263169	21	3^6*19^2
222	270400	63	2^6*5^2*13^2
223	275625	45	3^2*5^4*7^2
224	278784	81	2^8*3^2*11^2
225	283024	45	2^4*7^2*19^2
226	290521	15	7^4*11^2
227	291600	105	2^4*3^6*5^2
228	295936	33	2^10*17^2
229	298116	81	2^2*3^2*7^2*13^2
230	302500	45	2^2*5^4*11^2
231	313600	81	2^8*5^2*7^2
232	314721	27	3^2*11^2*17^2
233	321489	27	3^8*7^2
234	324900	81	2^2*3^2*5^2*19^2
235	327184	45	2^4*11^2*13^2
236	331776	65	2^12*3^4
237	334084	15	2^2*17^4
238	342225	45	3^4*5^2*13^2
239	345744	75	2^4*3^2*7^4
240	352836	63	2^2*3^6*11^2
241	354025	27	5^2*7^2*17^2
242	360000	105	2^6*3^2*5^4
243	366025	15	5^2*11^4
244	369664	33	2^10*19^2
245	374544	75	2^4*3^4*17^2
246	379456	63	2^6*7^2*11^2
247	389376	81	2^8*3^2*13^2
248	390625	9	5^8
249	393129	27	3^2*11^2*19^2
250	396900	135	2^2*3^4*5^2*7^2
251	405769	15	7^4*13^2
252	409600	45	2^14*5^2
253	417316	27	2^2*17^2*19^2
254	419904	63	2^6*3^8
255	422500	45	2^2*5^4*13^2
256	435600	135	2^4*3^2*5^2*11^2
257	439569	27	3^2*13^2*17^2
258	442225	27	5^2*7^2*19^2
259	451584	99	2^10*3^2*7^2
260	455625	35	3^6*5^4
261	456976	25	2^4*13^4
262	462400	63	2^6*5^2*17^2
263	467856	75	2^4*3^4*19^2
264	470596	21	2^2*7^6
265	480249	45	3^4*7^2*11^2
266	490000	75	2^4*5^4*7^2
267	492804	63	2^2*3^6*13^2
268	495616	39	2^12*11^2
269	509796	81	2^2*3^2*7^2*17^2
270	511225	27	5^2*11^2*13^2
271	518400	135	2^8*3^4*5^2
272	521284	15	2^2*19^4
273	527076	45	2^2*3^2*11^4
274	529984	63	2^6*7^2*13^2
275	531441	13	3^12
276	540225	45	3^2*5^2*7^4
277	549081	27	3^2*13^2*19^2
278	559504	45	2^4*11^2*17^2
279	562500	63	2^2*3^2*5^6
280	571536	105	2^4*3^6*7^2
281	577600	63	2^6*5^2*19^2
282	585225	45	3^4*5^2*17^2
283	589824	51	2^16*3^2
284	592900	81	2^2*5^2*7^2*11^2
285	608400	135	2^4*3^2*5^2*13^2
286	614656	45	2^8*7^4
287	627264	105	2^6*3^4*11^2
288	636804	81	2^2*3^2*7^2*19^2
289	640000	55	2^10*5^4
290	656100	81	2^2*3^8*5^2
291	665856	81	2^8*3^2*17^2
292	670761	45	3^4*7^2*13^2
293	680625	45	3^2*5^4*11^2
294	692224	39	2^12*13^2
295	693889	15	7^4*17^2
296	698896	45	2^4*11^2*19^2
297	705600	189	2^6*3^2*5^2*7^2
298	714025	15	5^2*13^4
299	717409	15	7^2*11^4
300	722500	45	2^2*5^4*17^2
301	731025	45	3^4*5^2*19^2
302	736164	81	2^2*3^2*11^2*13^2
303	746496	77	2^10*3^6
304	751689	15	3^2*17^4
305	765625	21	5^6*7^2
306	774400	81	2^8*5^2*11^2
307	777924	75	2^2*3^4*7^4
308	781456	45	2^4*13^2*17^2
309	793881	27	3^8*11^2
310	802816	45	2^14*7^2
311	810000	125	2^4*3^4*5^4
312	828100	81	2^2*5^2*7^2*13^2
313	831744	81	2^8*3^2*19^2
314	842724	63	2^2*3^6*17^2
315	853776	135	2^4*3^2*7^2*11^2
316	866761	15	7^4*19^2
317	874225	27	5^2*11^2*17^2
318	876096	105	2^6*3^4*13^2
319	893025	63	3^6*5^2*7^2
320	902500	45	2^2*5^4*19^2
321	906304	63	2^6*7^2*17^2
322	921600	117	2^12*3^2*5^2
323	937024	35	2^6*11^4
324	938961	27	3^2*17^2*19^2
325	944784	55	2^4*3^10
326	950625	45	3^2*5^4*13^2
327	960400	75	2^4*5^2*7^4
328	976144	45	2^4*13^2*19^2
329	980100	135	2^2*3^4*5^2*11^2
330	1000000	49	2^6*5^6
331	1002001	27	7^2*11^2*13^2
332	1016064	135	2^8*3^4*7^2
333	1028196	45	2^2*3^2*13^4
334	1040400	135	2^4*3^2*5^2*17^2
335	1048576	21	2^20
336	1052676	63	2^2*3^6*19^2
337	1058841	21	3^2*7^6
338	1081600	81	2^8*5^2*13^2
339	1092025	27	5^2*11^2*19^2
340	1102500	135	2^2*3^2*5^4*7^2
341	1108809	27	3^8*13^2
342	1115136	99	2^10*3^2*11^2
343	1132096	63	2^6*7^2*19^2
344	1147041	45	3^4*7^2*17^2
345	1162084	45	2^2*7^4*11^2
346	1166400	147	2^6*3^6*5^2
347	1172889	15	3^2*19^4
348	1183744	39	2^12*17^2
349	1185921	25	3^4*11^4
350	1192464	135	2^4*3^2*7^2*13^2
351	1210000	75	2^4*5^4*11^2
352	1221025	27	5^2*13^2*17^2
353	1254400	99	2^10*5^2*7^2
354	1258884	81	2^2*3^2*11^2*17^2
355	1265625	35	3^4*5^6
356	1285956	81	2^2*3^8*7^2
357	1299600	135	2^4*3^2*5^2*19^2
358	1308736	63	2^6*11^2*13^2
359	1327104	75	2^14*3^4
360	1334025	81	3^2*5^2*7^2*11^2
361	1336336	25	2^4*17^4
362	1368900	135	2^2*3^4*5^2*13^2
363	1382976	105	2^6*3^2*7^4
364	1399489	15	7^2*13^4
365	1411344	105	2^4*3^6*11^2
366	1416100	81	2^2*5^2*7^2*17^2
367	1432809	45	3^4*7^2*19^2
368	1440000	135	2^8*3^2*5^4
369	1464100	45	2^2*5^2*11^4
370	1476225	33	3^10*5^2
371	1478656	39	2^12*19^2
372	1498176	105	2^6*3^4*17^2
373	1500625	25	5^4*7^4
374	1517824	81	2^8*7^2*11^2
375	1525225	27	5^2*13^2*19^2
376	1557504	99	2^10*3^2*13^2
377	1562500	27	2^2*5^8
378	1572516	81	2^2*3^2*11^2*19^2
379	1587600	225	2^4*3^4*5^2*7^2
380	1623076	45	2^2*7^4*13^2
381	1625625	45	3^2*5^4*17^2
382	1638400	51	2^16*5^2
383	1656369	45	3^4*11^2*13^2
384	1669264	45	2^4*17^2*19^2
385	1679616	81	2^8*3^8
386	1690000	75	2^4*5^4*13^2
387	1713481	27	7^2*11^2*17^2
388	1742400	189	2^6*3^2*5^2*11^2
389	1750329	35	3^6*7^4
390	1758276	81	2^2*3^2*13^2*17^2
391	1768900	81	2^2*5^2*7^2*19^2
392	1771561	7	11^6
393	1806336	117	2^12*3^2*7^2
394	1822500	105	2^2*3^6*5^4
395	1827904	35	2^6*13^4
396	1849600	81	2^8*5^2*17^2
397	1863225	81	3^2*5^2*7^2*13^2
398	1871424	105	2^6*3^4*19^2
399	1882384	35	2^4*7^6
400	1890625	21	5^6*11^2
401	1896129	27	3^8*17^2
402	1920996	135	2^2*3^4*7^2*11^2
403	1960000	105	2^6*5^4*7^2
404	1971216	105	2^4*3^6*13^2
405	1982464	45	2^14*11^2
406	2030625	45	3^2*5^4*19^2
407	2039184	135	2^4*3^2*7^2*17^2
408	2044900	81	2^2*5^2*11^2*13^2
409	2073600	165	2^10*3^4*5^2
410	2085136	25	2^4*19^4
411	2088025	15	5^2*17^4
412	2108304	75	2^4*3^2*11^4
413	2119936	81	2^8*7^2*13^2
414	2125764	39	2^2*3^12
415	2140369	27	7^2*11^2*19^2
416	2160900	135	2^2*3^2*5^2*7^4
417	2196324	81	2^2*3^2*13^2*19^2
418	2205225	63	3^6*5^2*11^2
419	2238016	63	2^6*11^2*17^2
420	2250000	105	2^4*3^2*5^6
421	2286144	147	2^6*3^6*7^2
422	2310400	81	2^8*5^2*19^2
423	2313441	25	3^4*13^4
424	2340900	135	2^2*3^4*5^2*17^2
425	2359296	57	2^18*3^2
426	2368521	27	3^8*19^2
427	2371600	135	2^4*5^2*7^2*11^2
428	2393209	27	7^2*13^2*17^2
429	2433600	189	2^6*3^2*5^2*13^2
430	2458624	55	2^10*7^4
431	2474329	15	11^4*13^2
432	2480625	75	3^4*5^4*7^2
433	2509056	135	2^8*3^4*11^2
434	2547216	135	2^4*3^2*7^2*19^2
435	2560000	65	2^12*5^4
436	2608225	27	5^2*17^2*19^2
437	2614689	45	3^2*7^4*11^2
438	2624400	135	2^4*3^8*5^2
439	2640625	21	5^6*13^2
440	2663424	99	2^10*3^2*17^2
441	2683044	135	2^2*3^4*7^2*13^2
442	2722500	135	2^2*3^2*5^4*11^2
443	2768896	45	2^14*13^2
444	2775556	45	2^2*7^4*17^2
445	2795584	63	2^6*11^2*19^2
446	2822400	243	2^8*3^2*5^2*7^2
447	2832489	45	3^4*11^2*17^2
